Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Sarabi M.T., Zimmermann E.","58771422600;7101967705;","Time is Confidence: Monetary Incentives Metacognitive Profile on Duration Judgment",2025,"Journal of Cognition","8","1","8","","",,,"10.5334/joc.414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215577059&doi=10.5334%2fjoc.414&partnerID=40&md5=d83d9abaabffa3f00bd7108d336e23ec","The question we addressed in the current study is whether the mere prospect of monetary reward gain affects subjective time perception. To test this question, we collected trial-based confidence reports in a task where participants made categorical decisions about probe durations relative to the reference duration. When there was a potential to gain a monetary reward, the duration was perceived to be longer than in the neutral condition. Confidence, which reflects the perceived probability of being correct, was higher in the reward gain condition than in the neutral condition. We found that confidence influences the sense of time in different participants. Participants with high confidence reported perceiving the duration signaled by the monetary gain condition longer than participants with low confidence. Our results showed that only high confidence individuals overestimated the context of monetary gain. Finally, we found a negative relationship between confidence and time perception, and that confidence bias at the maximum uncertainty duration of 450 ms is predictive of time perception. Taken together, the current study demonstrates that subjective measures of the confidence profile caused an overestimation of time rather than the outcome valence of reward expectancy. © 2025 The Author(s).",Article,"Final","",Scopus,2-s2.0-85215577059
"Zhao X., Hu J., Liu M., Li Q., Yang Q.","57483147100;57226038946;59463040700;57831746400;59261275800;","Immunity for counterproductive attentional capture by reward signals among individuals with depressive symptoms",2025,"Behaviour Research and Therapy","184",,"104664","","",,,"10.1016/j.brat.2024.104664","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211317276&doi=10.1016%2fj.brat.2024.104664&partnerID=40&md5=830a6444c7fee386dae66a7c46e5def6","Objectives: This study aimed to investigate the characteristics of attentional capture by reward signals in individuals with depression during classical conditioning. Methods: A variant of the additional singleton paradigm was adopted with a high- or low-reward signal as the prominent distracting stimulus. In Experiment 1, 46 participants with depressive symptoms and 46 healthy controls were asked to conduct a keypress response to the visual target. In Experiment 2, 58 participants with depressive symptoms and 58 healthy controls were asked to conduct a fixation response to the visual target. Results: In the keypress response task, the presence of high-reward signals slowed down the responses of participants in the control group, whereas the response times of individuals with depression were not significantly affected. In the fixation response task, when the high-reward signal was presented, individuals with depression were more likely to choose the target location as the first saccade destination, compared with healthy controls. In addition, individuals with depression exhibited fewer oculomotor capture by high-reward signals than healthy controls, a trait which was closely linked to the enhanced saccadic inhibition. Conclusion: The results of our study indicated that individuals with depression exhibited an abnormality in attentional capture by reward-related conditioned stimuli during classical conditioning. © 2024 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85211317276
"Le J.T., Watson P., Le Pelley M.E.","57795212900;55340167900;6603589906;","Effects of outcome revaluation on attentional prioritisation of reward-related stimuli",2025,"Quarterly Journal of Experimental Psychology","78","1",,"142","162",,1,"10.1177/17470218241236711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187934973&doi=10.1177%2f17470218241236711&partnerID=40&md5=dd75d3ef4a4c185365688424261ec2c9","Stimuli associated with rewards can acquire the ability to capture our attention independently of our goals and intentions. Here, we examined whether attentional prioritisation of reward-related cues is sensitive to changes in the value of the reward itself. To this end, we incorporated an instructed outcome devaluation (Experiment 1a), “super-valuation” (Experiment 1b), or value switch (Experiment 2) into a visual search task, using eye-tracking to examine attentional prioritisation of stimuli signalling high- and low-value rewards. In Experiments 1a and 1b, we found that prioritisation of high- and low-value stimuli was insensitive to devaluation of a previously high-value outcome, and super-valuation of a previously low-value outcome, even when participants were provided with further experience of receiving that outcome. In Experiment 2, following a value-switch manipulation, we found that prioritisation of a high-value stimulus could not be overcome with knowledge of the new values of outcomes alone. Only when provided with further experience of receiving the outcomes did patterns of attentional prioritisation of high- and low-value stimuli switch, in line with the updated values of the outcomes they signalled. To reconcile these findings, we suggest that participants were motivated to engage in effortful updating of attentional control settings when there was a relative difference between reward values at test (Experiment 2) but that previous settings were allowed to persist when both outcomes had the same value at test (Experiments 1a and 1b). These findings provide a novel framework to further understand the role of cognitive control in driving reward-modulated attention and behaviour. © Experimental Psychology Society 2024.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85187934973
"Schettino M., Mauti M., Parrillo C., Ceccarelli I., Giove F., Napolitano A., Ottaviani C., Martelli M., Orsini C.","57223340999;57221332138;57197735469;57733080700;6603200123;55215552000;12795779400;7102723740;7003915046;","Resting-state brain activation patterns and network topology distinguish human sign and goal trackers",2024,"Translational Psychiatry","14","1","446","","",,1,"10.1038/s41398-024-03162-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207163780&doi=10.1038%2fs41398-024-03162-w&partnerID=40&md5=65f7dad9bdcfd92136f5e7f3c50b2f27","The “Sign-tracker/Goal-tracker” (ST/GT) is an animal model of individual differences in learning and motivational processes attributable to distinctive conditioned responses to environmental cues. While GT rats value the reward-predictive cue as a mere predictor, ST rats attribute it with incentive salience, engaging in aberrant reward-seeking behaviors that mirror those of impulse control disorders. Given its potential clinical value, the present study aimed to map such model onto humans and investigated resting state functional magnetic resonance imaging correlates of individuals categorized as more disposed to sign-tracking or goal-tracking behavior. To do so, eye-tracking was used during a translationally informed Pavlovian paradigm to classify humans as STs (n = 36) GTs (n = 35) or as Intermediates (n = 33), depending on their eye-gaze towards the reward-predictive cue or the reward location. Using connectivity and network-based approach, measures of resting state functional connectivity and centrality (role of a node as a hub) replicated preclinical findings, suggesting a major involvement of subcortical areas in STs, and dominant cortical involvement in GTs. Overall, the study strengthens the translational value of the ST/GT model, with important implications for the early identification of vulnerable phenotypes for psychopathological conditions such as substance use disorder. © The Author(s) 2024.",Article,"Final","",Scopus,2-s2.0-85207163780
"Zhang M., Zhao C., Zhang M., Mao S., Yang M., Mao Z., Xing X.","59203800700;59204185700;59204950900;59204568700;59203800800;59204951000;57208708142;","Influence of reinforcement learning on the inhibitory control of Internet gaming disorder",2024,"PsyCh Journal","13","6",,"966","978",,,"10.1002/pchj.772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197547739&doi=10.1002%2fpchj.772&partnerID=40&md5=e9e388654b726d156005e75a642ba960","Reward processing dysfunction and inhibition control deficiency have been observed in Internet gaming disorder (IGD). However, it is still unclear whether the previous reinforcement learning depends on reward/punishment feedback influences on the cognitive inhibitory control of IGD. This study compared the differences between an IGD group and healthy people without game experiences in the probability selection task and the subsequent stop signal task by the method of behavioral experiments, in order to explore whether the reward learning ability is impaired in the IGD group. We also discuss the influence of previous reward learning on subsequent inhibition control. The results showed that (1) during the reward learning phase, the IGD group's accuracy was significantly lower than that of the control group; (2) compared with the control group, the IGD group's reaction times were longer in the transfer phase; (3) for no-go trials of the inhibitory control phase after reward learning, the accuracy of the reward-related stimulation in the IGD group was lower than that of punishment-related or neutral stimulation, but there was no significant difference among the three conditions in the control group. These findings indicated that the reinforcement learning ability of the IGD group was impaired, which further caused the abnormal response to reinforcement stimuli. © 2024 The Author(s). PsyCh Journal published by Institute of Psychology, Chinese Academy of Sciences and John Wiley & Sons Australia, Ltd.",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85197547739
"Piccoli L.R., Albertella L., Christensen E., Fontenelle L.F., Suo C., Richardson K., Yücel M., Lee R.S.C.","57217032004;15025915100;57208839029;55382768500;35323113700;35196735400;7006258831;54385436600;","Cognitive inflexibility moderates the relationship between relief-driven drinking motives and alcohol use",2024,"Addictive Behaviors Reports","20",,"100559","","",,,"10.1016/j.abrep.2024.100559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197088670&doi=10.1016%2fj.abrep.2024.100559&partnerID=40&md5=2494e4d7443706430eb0eac9b4e98d72","Introduction: Drinking motives and neurocognition play significant roles in predicting alcohol use. There is limited research examining how relief-driven drinking motives interact with neurocognition in alcohol use, which would help to elucidate the neurocognitive-motivational profiles most susceptible to harmful drinking. This study investigated the interactions between neurocognition (response inhibition and cognitive flexibility) and relief-driven drinking, in predicting problem drinking. Methods: Participants completed the Alcohol Use Disorders Identification Test – Consumption items (AUDIT-C) to measure drinking behaviour, and online cognitive tasks, including the Value-Modulated Attentional Capture and Reversal Task (VMAC-R) and the Stop Signal Task (SST). The sample (N = 368) were individuals who drink alcohol, which included a subsample (N = 52) with problematic drinking, as defined by self-identifying as having a primary drinking problem. Drinking motives were assessed using a binary coping question in the overall sample, and the Habit, Reward, and Fear Scale (HRFS) in the subsample. Moderation analyses were conducted to investigate whether cognitive flexibility and response inhibition moderated relationships between relief-driven motives and drinking. Results: Cognitive flexibility moderated the relationship between relief-driven motives and drinking (overall sample: β = 13.69, p = 0.017; subsample: β = 1.45, p = 0.013). Greater relief-driven motives were associated with heavier drinking for individuals with low cognitive flexibility. There was no significant interaction between response inhibition and relief-driven motives. Conclusions: Relief-driven drinking motives interact with cognitive inflexibility to drive heavier drinking. Greater understanding of these neurocognitive-motivational mechanisms may help to develop more targeted and effective interventions for reducing harmful drinking. © 2024",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85197088670
"Christensen E., Albertella L., Chamberlain S.R., Suo C., Brydevall M., Grant J.E., Yücel M., Lee R.S.C.","57208839029;15025915100;24723599200;35323113700;57190444446;7403161219;7006258831;54385436600;","A comprehensive evaluation of the neurocognitive predictors of problematic alcohol use, eating, pornography, and internet use: A 6-month longitudinal study",2024,"Journal of Behavioral Addictions","13","3",,"823","840",,,"10.1556/2006.2024.00041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204154363&doi=10.1556%2f2006.2024.00041&partnerID=40&md5=1de67913258826cbee8e13bcb5353cbb","Background and aims: Cognitive control and reward-related abnormalities are centrally implicated in addiction. However, findings from longitudinal studies addressing neurocognitive predictors of addictive behaviors are mixed. Further, little work has been conducted predicting non-substance-related addictive behaviors. Our study aimed to assess predictors of substance and non-substance addictive behaviors in a community sample, systematically evaluating each neurocognitive function's independent influence on addictive behavior. Methods: Australians (N = 294; 51.7% female; M[SD] age = 24.8[4.7] years) completed online neurocognitive tasks and surveys at baseline and 3-month follow-up. Self-report scales assessed problematic alcohol use, addictive eating (AE), problematic pornography use (PPU), and problematic internet use (PUI) at 3- and 6-month follow-ups. Linear regressions with bootstrapping assessed neurocognitive predictors for each addictive behavior across a 6-month period. Results: Neurocognition at baseline did not predict AE or PUI severity at 6-month follow-up. Less delay discounting at baseline predicted higher PPU at 6-month follow-up (β = -0.16, p = 0.005). Poorer performance monitoring at baseline predicted higher AE at 3-month follow-up (β = -0.16, p = 0.004), and more reward-related attentional capture at 3-months predicted higher AE at 6-month follow-up (β = 0.14, p = 0.033). Less reward-related attentional capture (β = -0.14, p = 0.003) and less risk-taking under ambiguity (β = -0.11, p = 0.029) at baseline predicted higher PUI at 3-month follow-up. All findings were of small effect size. None of the neurocognitive variables predicted problematic alcohol use. Discussion and conclusions: We were unable to identify a core set of specific neurocognitive functions that reliably predict multiple addictive behavior types. However, our findings indicate both cognitive control and reward-related functions predict non-substance addictive behaviors in different ways. Findings suggest that there may be partially distinct neurocognitive mechanisms contributing to addiction depending on the specific addictive behavior. © 2024 The Author(s).",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85204154363
"Taylor E.D., Feldmann-Wüstefeld T.","59319194100;25121477300;","Reward-modulated attention deployment is driven by suppression, not attentional capture",2024,"NeuroImage","299",,"120831","","",,,"10.1016/j.neuroimage.2024.120831","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203423505&doi=10.1016%2fj.neuroimage.2024.120831&partnerID=40&md5=02ba3cc3d0c97aa0c1f2c45346936f2b","One driving factor for attention deployment towards a stimulus is its associated value due to previous experience and learning history. Previous visual search studies found that when looking for a target, distractors associated with higher reward produce more interference (e.g., longer response times). The present study investigated the neural mechanism of such value-driven attention deployment. Specifically, we were interested in which of the three attention sub-processes are responsible for the interference that was repeatedly observed behaviorally: enhancement of relevant information, attentional capture by irrelevant information, or suppression of irrelevant information. We replicated earlier findings showing longer response times and lower accuracy when a target competed with a high-reward compared to a low-reward distractor. We also found a spatial gradient of interference: behavioral performance dropped with increasing proximity to the target. This gradient was steeper for high- than low-reward distractors. Event-related potentials of the EEG signal showed the reason for the reward-induced attentional bias: High-reward distractors required more suppression than low-reward distractors as evident in larger Pd components. This effect was only found for distractors near targets, showing the additional filtering needs required for competing stimuli in close proximity. As a result, fewer attentional resources can be distributed to the target when it competes with a high-reward distractor, as evident in a smaller target-N2pc amplitude. The distractor-N2pc, indicative of attentional capture, was neither affected by distance nor reward, showing that attentional capture alone cannot explain interference by stimuli of high value. In sum our results show that the higher need for suppression of high-value stimuli contributes to reward-modulated attention deployment and increased suppression can prevent attentional capture of high-value stimuli. © 2024 The Authors",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85203423505
"Garre-Frutos F., Vadillo M.A., González F., Lupiáñez J.","58804804000;6602776139;37034866500;7005267697;","On the reliability of value-modulated attentional capture: An online replication and multiverse analysis",2024,"Behavior Research Methods","56","6",,"5986","6003",,3,"10.3758/s13428-023-02329-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181949718&doi=10.3758%2fs13428-023-02329-5&partnerID=40&md5=038b82dde4345f339e649ea76385dfd1","Stimuli predicting rewards are more likely to capture attention, even when they are not relevant to our current goals. Individual differences in value-modulated attentional capture (VMAC) have been associated with various psychopathological conditions in the scientific literature. However, the claim that this attentional bias can predict individual differences requires further exploration of the psychometric properties of the most common experimental paradigms. The current study replicated the VMAC effect in a large online sample (N = 182) and investigated the internal consistency, with a design that allowed us to measure the effect during learning (rewarded phase) and after acquisition, once feedback was omitted (unrewarded phase). Through the rewarded phase there was gradual increase of the VMAC effect, which did not decline significantly throughout the unrewarded phase. Furthermore, we conducted a reliability multiverse analysis for 288 different data preprocessing specifications across both phases. Specifications including more blocks in the analysis led to better reliability estimates in both phases, while specifications that removed more outliers also improved reliability, suggesting that specifications with more, but less noisy, trials led to better reliability estimates. Nevertheless, in most instances, especially those considering fewer blocks of trials, reliability estimates fell below the minimum recommended thresholds for research on individual differences. Given the present results, we encourage researchers working on VMAC to take into account reliability when designing studies aimed at capturing individual differences and provide recommendations to improve methodological practices. © The Author(s) 2024.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85181949718
"Balea P., Molinero S., Vadillo M.A., Luque D.","57204038768;57212032479;6602776139;24366641600;","The role of selection history in the learned predictiveness effect.",2024,"Journal of Experimental Psychology: Human Perception and Performance","50","10",,"1010","1022",,,"10.1037/xhp0001240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204161124&doi=10.1037%2fxhp0001240&partnerID=40&md5=b4b3c38338beb02d427d3754e3b917e1","Previous research has shown that cues that are good predictors of relevant outcomes receive more attention than nonpredictive cues. This attentional bias is thought to stem from the different predictive value of cues. However, because successful performance requires more attention to predictive cues, the bias may be a lingering effect of previous attention to cues (i.e., a selection history effect) instead. Two experiments assessed the contribution of predictive value and selection history to the bias produced by learned predictiveness. In a first task, participants responded to pairs of cues, only one of which predicted the correct response. A second task was superficially very similar, but the correct response was determined randomly on each trial and participants responded based on some physical characteristic of a target stimulus in each compound. Hence, in this latter task, participants had to pay more attention to the target stimuli, but these stimuli were not consistently associated with a specific response. Results revealed no differences in the attentional bias toward the relevant stimuli in the two tasks, suggesting that the bias induced by learned predictiveness is a consequence of deploying more attention to predictive stimuli during training. Thus, predictiveness may not bias attention by itself, adding nothing over and above the effect expected by selection history. Previous research has shown that we pay more attention to stimuli that are reliably associated with subsequent important events, commonly known as predictive cues. However, this effect is often studied in experimental tasks that force participants to pay attention to these stimuli to achieve successful performance, which introduces a potential confounding variable. Indeed, in the present study, we show that the attentional bias toward stimuli that are consistently associated with a subsequent event is probably not driven by their predictive value. Instead, it appears that once participants begin to focus on certain stimuli, they have a lingering tendency to continue paying attention to them, even when they are no longer relevant. These findings are important as they challenge the current interpretation of attentional biases toward predictive cues. (PsycInfo Database Record (c) 2024 APA, all rights reserved) © 2024 American Psychological Association",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85204161124
