"","Authors","Year","Title","Abstract","DOI"
"1","Devine, Sean; Dong, Y. Doug; Silva, Martin Sellier; Roy, Mathieu; Otto, A. Ross",2025,"Increased attention towards progress information near a goal state","A growing body of evidence across psychology suggests that (cognitive) effort exertion increases in proximity to a goal state. For instance, previous work has shown that participants respond more quickly, but not less accurately, when they near a goal-as indicated by a filling progress bar. Yet it remains unclear when over the course of a cognitively demanding task do people monitor progress information: Do they continuously monitor their goal progress over the course of a task, or attend more frequently to it as they near their goal? To answer this question, we used eye-tracking to examine trial-by-trial changes in progress monitoring as participants completed blocks of an attentionally demanding oddball task. Replicating past work, we found that participants increased cognitive effort exertion near a goal, as evinced by an increase in correct responses per second. More interestingly, we found that the rate at which participants attended to goal progress information-operationalized here as the frequency of gazes towards a progress bar-increased steeply near a goal state. In other words, participants extracted information from the progress bar at a higher rate when goals were proximal (versus distal). In exploratory analysis of tonic pupil diameter, we also found that tonic pupil size increased sharply as participants approached a goal state, mirroring the pattern of gaze. These results support the view that people attend to progress information more as they approach a goal.","10.3758/s13423-024-02636-8"
"2","Lovibond, Peter F.; Westbrook, R. Frederick",2024,"The Role of Expectancy in Pavlovian Conditioning","A review of Pavlovian conditioning in animals and humans reveals a critical role for expectancy in the learning of an association between a conditioned stimulus (CS) and an unconditioned stimulus (US), as well as in the expression of this association in a conditioned response (CR). The automatic and involuntary nature of CRs has traditionally been explained in terms of the formation of excitatory or inhibitory links between representations of the CS and US. However, this view has difficulty accounting for the variety of CRs that are observed, some qualitatively different from those elicited by the US, depending on the imminence of the predicted US and the nature of the CS. Furthermore, in humans, the same anticipatory responses are seen when the CS-US relationship is instructed rather than experienced and when the imminent occurrence of the US is directly instructed, without a mediating CS. These findings suggest an alternative explanation in which CRs are anticipatory responses elicited automatically by a specific state of expectancy of the US. The similarity between Pavlovian conditioning in animals and humans in turn suggests a continuity of core mechanisms for learning and performance. We conclude that research and theory in Pavlovian conditioning should go beyond the search for direct CS-US connections and seek to understand the mechanisms that underlie CS-US contingency knowledge, expectancy states, and the generation of anticipatory responses.","10.1037/rev0000516"
"3","Heck, Michelle; Durieux, Nancy; Anselme, Patrick; Quertemont, Etienne",2024,"Implementations of sign- and goal-tracking behavior in humans: A scoping review","Animal research has identified two major phenotypes in the tendency to attribute incentive salience to a reward-associated cue. Individuals called sign-trackers (STs) preferentially approach the cue, assigning both predictive and incentive values to it. In contrast, individuals called goal-trackers (GTs) preferentially approach the location of the upcoming reward, assigning only a predictive value to the cue. The ST/GT model has been shown to be relevant to understanding addiction vulnerability and other pathological behaviors in animals. Therefore, recent studies tried to implement this animal model in the human population. This scoping review aimed to identify and map evidence of human sign- and goal-tracking. Studies that explicitly measured human sign- and goal-tracking or related phenomena (e.g., attentional bias induced by reward-related cues), using paradigms in line with the animal model, were eligible for this review. We searched for published, unpublished, and gray literature (PhD theses, posters, conference papers) through the following databases: MEDLINE, Scopus, PsycINFO, Embase, OSF, and Google Scholar. The JBI scoping review methodology was adopted. Screening and extraction were carried out by three reviewers, in pairs. A total of 48 studies were identified. These studies used various experimental paradigms and used the term sign-tracking inconsistently, sometimes implicitly or not at all. We conclude that the literature on human sign-tracking is very heterogeneous on many levels. Overall, evidence supports the existence of sign- and goal-tracking behaviors in humans, although further validated research is crucially needed.","10.3758/s13415-024-01230-8"
"4","Schettino, Martino; Mauti, Marika; Parrillo, Chiara; Ceccarelli, Ilenia; Giove, Federico; Napolitano, Antonio; Ottaviani, Cristina; Martelli, Marialuisa; Orsini, Cristina",2024,"Resting-state brain activation patterns and network topology distinguish human sign and goal trackers","The Sign-tracker/Goal-tracker (ST/GT) is an animal model of individual differences in learning and motivational processes attributable to distinctive conditioned responses to environmental cues. While GT rats value the reward-predictive cue as a mere predictor, ST rats attribute it with incentive salience, engaging in aberrant reward-seeking behaviors that mirror those of impulse control disorders. Given its potential clinical value, the present study aimed to map such model onto humans and investigated resting state functional magnetic resonance imaging correlates of individuals categorized as more disposed to sign-tracking or goal-tracking behavior. To do so, eye-tracking was used during a translationally informed Pavlovian paradigm to classify humans as STs (n = 36) GTs (n = 35) or as Intermediates (n = 33), depending on their eye-gaze towards the reward-predictive cue or the reward location. Using connectivity and network-based approach, measures of resting state functional connectivity and centrality (role of a node as a hub) replicated preclinical findings, suggesting a major involvement of subcortical areas in STs, and dominant cortical involvement in GTs. Overall, the study strengthens the translational value of the ST/GT model, with important implications for the early identification of vulnerable phenotypes for psychopathological conditions such as substance use disorder.","10.1038/s41398-024-03162-w"
"5","Taylor, Emily D.; Feldmann-Wuestefeld, Tobias",2024,"Reward-modulated attention deployment is driven by suppression, not attentional capture","One driving factor for attention deployment towards a stimulus is its associated value due to previous experience and learning history. Previous visual search studies found that when looking for a target, distractors associated with higher reward produce more interference (e.g., longer response times). The present study investigated the neural mechanism of such value-driven attention deployment. Specifically, we were interested in which of the three attention sub-processes are responsible for the interference that was repeatedly observed behaviorally: enhancement of relevant information, attentional capture by irrelevant information, or suppression of irrelevant information. We replicated earlier findings showing longer response times and lower accuracy when a target competed with a high-reward compared to a low-reward distractor. We also found a spatial gradient of interference: behavioral performance dropped with increasing proximity to the target. This gradient was steeper for high- than low-reward distractors. Event-related potentials of the EEG signal showed the reason for the reward-induced attentional bias: High-reward distractors required more suppression than low-reward distractors as evident in larger Pd components. This effect was only found for distractors near targets, showing the additional filtering needs required for competing stimuli in close proximity. As a result, fewer attentional resources can be distributed to the target when it competes with a high-reward distractor, as evident in a smaller target-N2pc amplitude. The distractor-N2pc, indicative of attentional capture, was neither affected by distance nor reward, showing that attentional capture alone cannot explain interference by stimuli of high value. In sum our results show that the higher need for suppression of high-value stimuli contributes to reward-modulated attention deployment and increased suppression can prevent attentional capture of high-value stimuli.","10.1016/j.neuroimage.2024.120831"
"6","Christensen, Erynn; Albertella, Lucy; Chamberlain, Samuel r.; Suo, Chao; Brydevall, Maja; Grant, Jon e.; Yuecel, Murat; Lee, Rico sze chun",2024,"A comprehensive evaluation of the neurocognitive predictors of problematic alcohol use, eating, pornography, and internet use: A 6-month longitudinal study","Background and aims: Cognitive control and reward-related abnormalities are centrally implicated in addiction. However, findings from longitudinal studies addressing neurocognitive predictors of addictive behaviors are mixed. Further, little work has been conducted predicting non-substance-related addictive behaviors. Our study aimed to assess predictors of substance and non-substance addictive behaviors in a community sample, systematically evaluating each neurocognitive function's independent influence on addictive behavior. Methods: Australians (N = 294; 51.7% female; M[SD] age = 24.8 [4.7] years) completed online neurocognitive tasks and surveys at baseline and 3-month follow-up. Self- report scales assessed problematic alcohol use, addictive eating (AE), problematic pornography use (PPU), and problematic internet use (PUI) at 3- and 6-month follow-ups. Linear regressions with bootstrapping assessed neurocognitive predictors for each addictive behavior across a 6-month period. Results: Neurocognition at baseline did not predict AE or PUI severity at 6-month follow-up. Less delay discounting at baseline predicted higher PPU at 6-month follow-up (/3 =- 0.16, p = 0.005). Poorer performance monitoring at baseline predicted higher AE at 3-month follow-up (/3 =- 0.16, p = 0.004), and more reward-related attentional capture at 3-months predicted higher AE at 6-month follow-up (/3 = 0.14, p = 0.033). Less reward-related attentional capture (/3 =- 0.14, p = 0.003) and less risk- taking under ambiguity (/3 =- 0.11, p = 0.029) at baseline predicted higher PUI at 3-month follow-up. All fi ndings were of small effect size. None of the neurocognitive variables predicted problematic alcohol use. Discussion and conclusions: We were unable to identify a core set of specific neurocognitive functions that reliably predict multiple addictive behavior types. However, our findings indicate both cognitive control and reward-related functions predict non-substance addictive behaviors in different ways. Findings suggest that there may be partially distinct neurocognitive mechanisms contributing to addiction depending on the specific addictive behavior.","10.1556/2006.2024.00041"
"7","Balea, Paula; Molinero, Sara; Vadillo, Miguel A.; Luque, David",2024,"The Role of Selection History in the Learned Predictiveness Effect","Previous research has shown that cues that are good predictors of relevant outcomes receive more attention than nonpredictive cues. This attentional bias is thought to stem from the different predictive value of cues. However, because successful performance requires more attention to predictive cues, the bias may be a lingering effect of previous attention to cues (i.e., a selection history effect) instead. Two experiments assessed the contribution of predictive value and selection history to the bias produced by learned predictiveness. In a first task, participants responded to pairs of cues, only one of which predicted the correct response. A second task was superficially very similar, but the correct response was determined randomly on each trial and participants responded based on some physical characteristic of a target stimulus in each compound. Hence, in this latter task, participants had to pay more attention to the target stimuli, but these stimuli were not consistently associated with a specific response. Results revealed no differences in the attentional bias toward the relevant stimuli in the two tasks, suggesting that the bias induced by learned predictiveness is a consequence of deploying more attention to predictive stimuli during training. Thus, predictiveness may not bias attention by itself, adding nothing over and above the effect expected by selection history.","10.1037/xhp0001240"
"8","Herman, Shaina; Pogarsky, Greg",2024,"Moral Salience, Situational Moral Evaluations, and Criminal Choice","Research increasingly aims to better understand criminal behavior in context. Invariably, this entails integrating sociological (and other) perspectives on structure and environment, with psychological and economic notions of individual decision processes. Unique among environmental influences on crime is the immediate context surrounding an offending opportunity. Here we focus on moral context. Perceived choice is often constrained by structural factors, such as concentrated disadvantage and social inequalities, which restrict prosocial opportunities and encourage offending. System 1 heuristic processes that involve moral salience can affect perceived choice sets as well. Such processes narrow choices by directing attention to one or a subset of behavioral options and away from others. They can also expand choices by counteracting the attention narrowing, criminogenic influences of competing heuristics such as temporally present orientation. Below we examine whether contextual circumstances can amplify the internal prominence of one's moral self-conception, thus influencing moral judgements and related action. Using randomized experiments embedded in two online surveys, we assess the role of morally laden situational cues in choice processes.","10.1177/00111287241259474"
"9","Zhang, Mengyue; Zhao, Chenyue; Zhang, Meng; Mao, Shuangshuang; Yang, Mengyao; Mao, Ziyu; Xing, Xiaoli",2024,"Influence of reinforcement learning on the inhibitory control of Internet gaming disorder","Reward processing dysfunction and inhibition control deficiency have been observed in Internet gaming disorder (IGD). However, it is still unclear whether the previous reinforcement learning depends on reward/punishment feedback influences on the cognitive inhibitory control of IGD. This study compared the differences between an IGD group and healthy people without game experiences in the probability selection task and the subsequent stop signal task by the method of behavioral experiments, in order to explore whether the reward learning ability is impaired in the IGD group. We also discuss the influence of previous reward learning on subsequent inhibition control. The results showed that (1) during the reward learning phase, the IGD group's accuracy was significantly lower than that of the control group; (2) compared with the control group, the IGD group's reaction times were longer in the transfer phase; (3) for no-go trials of the inhibitory control phase after reward learning, the accuracy of the reward-related stimulation in the IGD group was lower than that of punishment-related or neutral stimulation, but there was no significant difference among the three conditions in the control group. These findings indicated that the reinforcement learning ability of the IGD group was impaired, which further caused the abnormal response to reinforcement stimuli.","10.1002/pchj.772"
"10","Piccoli, Lara R.; Albertella, Lucy; Christensen, Erynn; Fontenelle, Leonardo F.; Suo, Chao; Richardson, Karyn; Yucel, Murat; Lee, Rico S. C.",2024,"Cognitive inflexibility moderates the relationship between relief-driven drinking motives and alcohol use","Introduction: Drinking motives and neurocognition play significant roles in predicting alcohol use. There is limited research examining how relief-driven drinking motives interact with neurocognition in alcohol use, which would help to elucidate the neurocognitive-motivational profiles most susceptible to harmful drinking. This study investigated the interactions between neurocognition (response inhibition and cognitive flexibility) and relief-driven drinking, in predicting problem drinking. Methods: Participants completed the Alcohol Use Disorders Identification Test - Consumption items (AUDIT-C) to measure drinking behaviour, and online cognitive tasks, including the Value-Modulated Attentional Capture and Reversal Task (VMAC-R) and the Stop Signal Task (SST). The sample (N = 368) were individuals who drink alcohol, which included a subsample (N = 52) with problematic drinking, as defined by self-identifying as having a primary drinking problem. Drinking motives were assessed using a binary coping question in the overall sample, and the Habit, Reward, and Fear Scale (HRFS) in the subsample. Moderation analyses were conducted to investigate whether cognitive flexibility and response inhibition moderated relationships between relief-driven motives and drinking. Results: Cognitive flexibility moderated the relationship between relief-driven motives and drinking (overall sample: (3 = 13.69, p = 0.017; subsample: (3 = 1.45, p = 0.013). Greater relief-driven motives were associated with heavier drinking for individuals with low cognitive flexibility. There was no significant interaction between response inhibition and relief-driven motives. Conclusions: Relief-driven drinking motives interact with cognitive inflexibility to drive heavier drinking. Greater understanding of these neurocognitive-motivational mechanisms may help to develop more targeted and effective interventions for reducing harmful drinking.","10.1016/j.abrep.2024.100559"
